PhoId|MulId|MulPfadS|MulDateiS|filename
35104|200734|M_B\M_B05000-05999\M_B05700-05799|LN_B05724_008604|Flintlåsstudsare, ändrad till slaglås och omstockad under 1800-talet - Livrustkammaren - 35104.tif
51914|206746|M_B\M_B02000-02999\M_B02600-02699|LN_B02636_005516|Ordensfästen - Livrustkammaren - 51914.tif
59238|186747|M_DIG\M_DIG1000-1999\M_DIG1300-1399|lm_dig1338|Utställning "Små bilar för stora män", år 2005 - Livrustkammaren - 59238.jpg
35361|203873|M_B\M_B08000-08999\M_B08200-08299|LN_B08294_011174|Plåtlivjacka, 1500-talets mitt, troligen Arboga - Livrustkammaren - 35361.tif
77816|208834|M_B\M_B04000-04999\M_B04800-04899|LN_B04839_007719|Infanteriofficersvärja. Fästet Sverige c 1800, klingan Dresden 1700-talets mitt - Livrustkammaren - 77816.tif
17543|203921|M_B\M_B01000-01999\M_B01300-01399|LN_B01342_004222|Uppbådsfana för Björke (Södra Björke) socken Gäseneds (Gäsene) härad - Livrustkammaren - 17543.tif
44473|199572|M_B\M_B13000-13999\M_B13800-13899|LN_B13835_016715|Slaglåsrevolver SA, 6 skott, Jonas Offrell patent nr 1, 1841 - Livrustkammaren - 44473.tif
534|206578|M_B\M_B02000-02999\M_B02400-02499|LN_B02460_005340|Värja, Tyskland ca 1650-1655 - Livrustkammaren - 534.tif
17307|193317|M_A\M_A01000-01999\M_A01800-01899|LN_A01862_001862|Värja - Livrustkammaren - 17307.tif
43779|202470|M_B\M_B06000-06999\M_B06800-06899|LN_B06885_009765|Sköld till begravningsvapen, Strängnäs domkyrka - Livrustkammaren - 43779.tif
25698|191708|M_A\M_A00000-00999\M_A00100-00199|LN_A00153_000153|Rörsköld, kalkan - Livrustkammaren - 25698.tif
26595|201820|M_B\M_B06000-06999\M_B06200-06299|LN_B06243_009123|Solfjäder, 1700-tal - Livrustkammaren - 26595.tif
77354|200135|M_B\M_B00000-00999\M_B00200-00299|LN_B00219_003099|Ryttarhjälm polsk typ - Livrustkammaren - 77354.tif
27192|198058|M_B\M_B12000-12999\M_B12200-12299|LN_B12213_015093|Flintlåsbössa, Johan Reichardt, Stockholm 1770-tal - Livrustkammaren - 27192.tif
9496|202085|M_B\M_B06000-06999\M_B06400-06499|LN_B06491_009371|Detalj fäste hirschfängare - Livrustkammaren - 9496.tif
18344|205378|M_B\M_B09000-09999\M_B09300-09399|LN_B09352_012232|Flinlåspistol, I Des Granges, Paris 1668 - Livrustkammaren - 18344.tif
60540|207393|M_B\M_B03000-03999\M_B03200-03299|LN_B03287_006167|Flintlåsbössa, Johan Reichardt, Stockholm, 1780-tal, låset ändrat till slaglås - Livrustkammaren - 60540.tif
9261|208199|M_B\M_B04000-04999\M_B04100-04199|LN_B04141_007021|Sadel, engelsk sadel, 1800-1850 - Livrustkammaren - 9261.tif
18748|199228|M_B\M_B13000-13999\M_B13300-13399|LN_B13392_016272|Byxor till Torsångskarlen, 1756 - Livrustkammaren - 18748.tif
61038|203846|M_B\M_B08000-08999\M_B08200-08299|LN_B08267_011147|Hjullåsstudsare, s. k. Müllerbüchse med pipa av Reinhard Schinzel, Dessau 1691 - Livrustkammaren - 61038.tif
60027|192569|M_A\M_A01000-01999\M_A01000-01099|LN_A01037_001037|Snapplåsbössa, lägglås, utfjäderslås - Livrustkammaren - 60027.tif
34802|206804|M_B\M_B02000-02999\M_B02600-02699|LN_B02694_005574|Hovmedaljen 5:e o 8:e storleken - Livrustkammaren - 34802.tif
69729|205561|M_B\M_B09000-09999\M_B09500-09599|LN_B09558_012438|Bärstol gustaviansk - Livrustkammaren - 69729.tif
68628|192943|M_A\M_A01000-01999\M_A01400-01499|LN_A01428_001428|Kyller - Lützen - Livrustkammaren - 68628.tif
43571|208804|M_B\M_B04000-04999\M_B04800-04899|LN_B04805_007685|Hirschfängare, Sverige - Livrustkammaren - 43571.tif
78249|205172|M_B\M_B09000-09999\M_B09100-09199|LN_B09169_012049|Snapplåslodbössa med lägglås, infjäderslås, Sverige, 1600-talets mitt - Livrustkammaren - 78249.tif
87678|191178|M_DIG\M_DIG6000-6999\M_DIG6800-6899|lm_dig6834|Till boken - utställningen Kunglig Vintage - Livrustkammaren - 87678.tif
139|192881|M_A\M_A01000-01999\M_A01300-01399|LN_A01390_001390|Flintlåsbössa - Livrustkammaren - 139.tif
90567|191655|M_DIG\M_DIG7000-7999\M_DIG7300-7399|hm_dig7307|Fajans, fat, baksida, 1764 - Hallwylska museet - 90567.tif
52595|205445|M_B\M_B09000-09999\M_B09400-09499|LN_B09446_012326|Halskrage. Del av helrustning använd 1660 vid Gustav Horn af Kankas begravning - Livrustkammaren - 52595.tif
25597|190325|M_DIG\M_DIG5000-5999\M_DIG5100-5199|lm_dig5133_27993|Del av hästrustning - Livrustkammaren - 25597.tif
61584|199457|M_B\M_B13000-13999\M_B13700-13799|LN_B13727_016607|Flintlåspistol, Ch. Doucin, Paris ca 1696 - Livrustkammaren - 61584.tif
47788|105715|M_T\M_T08000-08999\M_T08200-08299|hm_t08222|Silver, terriner - Hallwylska museet - 47788.tif
83904|187773|M_DIG\M_DIG2000-2999\M_DIG2400-2499|lm_dig2472_11143|Flintlåsstudsare J Echsted, pipa - Livrustkammaren - 83904.tif
68569|192402|M_A\M_A00000-00999\M_A00800-00899|LN_A00838_000838|Kompanifana Östergötlands regemente - Livrustkammaren - 68569.tif
75424|187631|M_DIG\M_DIG2000-2999\M_DIG2300-2399|lm_dig2330_17547|Korkbottensko dam - Livrustkammaren - 75424.tif
48176|186511|M_DIG\M_DIG1000-1999\M_DIG1100-1199|lm_dig1139|Riksvapen, Sverige-Norge - Livrustkammaren - 48176.tif
87708|190919|M_DIG\M_DIG6000-6999\M_DIG6600-6699|sm_dig6624|Kanna, relief - Skoklosters slott - 87708.tif
88973|189221|M_DIG\M_DIG3000-3999\M_DIG3500-3599|sm_dig3545|Porträtt, Rudolf Colloredo - Skoklosters slott - 88973.tif
89216|188644|M_DIG\M_DIG3000-3999\M_DIG3000-3099|hm_dig3068|Porslin. Figurin - jägare med gevär och sittande hund - Hallwylska museet - 89216.tif
888|201738|M_B\M_B06000-06999\M_B06000-06099|LN_B06000_008880|Rörsköld, kalkan, Persien-Istambul ca 1550-1600 - Livrustkammaren - 888.tif
34248|185411|M_A\M_A00000-00999\M_A00000-00099|LN_A00034_000034|Detalj hjälm - Livrustkammaren - 34248.tif
16768|190553|M_DIG\M_DIG6000-6999\M_DIG6100-6199|lm_dig6186_5194|Detalj, stämpel på klinga, pagevärja Wolfert - Livrustkammaren - 16768.tif
44185|196713|M_B\M_B10000-10999\M_B10900-10999|LN_B10945_013825|Flintlåspistol, Örebro ca 1750-1775 - Livrustkammaren - 44185.tif
4935|194652|M_T\M_T07000-07999\M_T07700-07799|hm_t07717|Walter von Hallwyls kontor - Hallwylska museet - 4935.tif
30208|194568|M_T\M_T03000-03999\M_T03600-03699|hm_t03600|Biljardrummet. Träsnideri. Vägg - Hallwylska museet - 30208.tif
43915|203824|M_B\M_B08000-08999\M_B08200-08299|LN_B08245_011125|Hillebard, Arboga - Livrustkammaren - 43915.tif
25316|188008|M_DIG\M_DIG2000-2999\M_DIG2700-2799|lm_dig2718|Dokumentation, Livrustkammarens basutställning, Rum D - Livrustkammaren - 25316.tif
386|201396|M_B\M_B00000-00999\M_B00900-00999|LN_B00980_003860|Serafimerkraschan, 2892) - Livrustkammaren - 386.tif
58220|187688|M_DIG\M_DIG2000-2999\M_DIG2400-2499|lm_dig2441_3122|Pojkluntlåsmusköt, v sida - Livrustkammaren - 58220.tif
10219|199533|M_B\M_B13000-13999\M_B13700-13799|LN_B13721_016601|Kulbösspipa, Hadji Mir Khan, Persien - Livrustkammaren - 10219.tif
438|204424|M_B\M_B01000-01999\M_B01500-01599|LN_B01500_004380|Kompanifana vid Skaraborgs regemente, modell 1686 - Livrustkammaren - 438.tif
18351|205421|M_B\M_B09000-09999\M_B09400-09499|LN_B09422_012302|Flintlåspistol - Livrustkammaren - 18351.tif
68553|192239|M_A\M_A00000-00999\M_A00600-00699|LN_A00678_000678|Svärdfejare, sabel - yatagan - Livrustkammaren - 68553.tif
85801|187101|M_DIG\M_DIG1000-1999\M_DIG1800-1899|hm_dig1848|Julkort - Hallwylska museet - 85801.tif
44|192035|M_A\M_A00000-00999\M_A00400-00499|LN_A00440_000440|Pipsmed, hjullåsmusköt - Livrustkammaren - 44.tif
86523|189604|M_DIG\M_DIG4000-4999\M_DIG4400-4499|sm_dig4401_2254|Målning. Porträtt. Officersvän. Jörgen Pålman - Skoklosters slott - 86523.tif
69128|207602|M_B\M_B03000-03999\M_B03500-03599|LN_B03548_006428|Gardin ur en serie av sex (6012-6017) till Karl X Gustavs blå kaross, 1650, Paris - Livrustkammaren - 69128.tif
8938|201333|M_B\M_B00000-00999\M_B00900-00999|LN_B00911_003791|Hjullåspistol, sammansatt av ej samhörande delar, 1800-tal, låset Bayern, 1600-tal - Livrustkammaren - 8938.tif
88976|189206|M_DIG\M_DIG3000-3999\M_DIG3500-3599|sm_dig3530|Porträtt, sekreteraren Sven Elofsson - Skoklosters slott - 88976.tif
60069|192973|M_A\M_A01000-01999\M_A01400-01499|LN_A01457_001457|Linnestrumpa, strövling - Livrustkammaren - 60069.tif
34741|206085|M_B\M_B02000-02999\M_B02000-02099|LN_B02084_004964|Rock hörande till Karl XIs dräkt - Livrustkammaren - 34741.tif
44020|205298|M_B\M_B09000-09999\M_B09200-09299|LN_B09295_012175|Svärd - Livrustkammaren - 44020.tif
35867|199190|M_B\M_B13000-13999\M_B13300-13399|LN_B13354_016234|Skjortärm till Gustav Vasa-figuren från Ornässamlingen, 1750-tal - Livrustkammaren - 35867.tif
6913|187616|M_DIG\M_DIG2000-2999\M_DIG2300-2399|lm_dig2315_14349|Gustav VI Adolfs lacksko - Livrustkammaren - 6913.tif
16730|188799|M_DIG\M_DIG3000-3999\M_DIG3100-3199|lm_dig3131|Dokumentation, utställningen "Sigvard Bernadotte - 100 år" - Livrustkammaren - 16730.tif
42836|191887|M_A\M_A00000-00999\M_A00300-00399|LN_A00335_000335|Svärd detalj - Livrustkammaren - 42836.tif
69944|197548|M_B\M_B11000-11999\M_B11700-11799|LN_B11708_014588|Norskt snapplås, utfjäderslås, lägglås - Livrustkammaren - 69944.tif
87712|190916|M_DIG\M_DIG6000-6999\M_DIG6600-6699|sm_dig6621|Interiör, biblioteket, rummet Stockholm. Polonika. Polsk skrift - Skoklosters slott - 87712.tif
17179|192159|M_A\M_A00000-00999\M_A00500-00599|LN_A00582_000582|Vapen - Livrustkammaren - 17179.tif
76953|190174|M_DIG\M_DIG5000-5999\M_DIG5000-5099|lm_dig5090_27869|Rem - Livrustkammaren - 76953.tif
89049|189180|M_DIG\M_DIG3000-3999\M_DIG3500-3599|lm_dig3572|Släp, dopdräkt. Till boken Kanonsalut och vaggor - kungliga födslar och dop av Lena Rangström - Livrustkammaren - 89049.tif
51780|201711|M_B\M_B01000-01999\M_B01200-01299|LN_B01296_004176|Fragment av en fana - Livrustkammaren - 51780.tif
26519|200401|M_B\M_B05000-05999\M_B05400-05499|LN_B05483_008363|Solfjäder engelskt motiv ca 1750-1765 - Livrustkammaren - 26519.tif
26137|204687|M_B\M_B01000-01999\M_B01600-01699|LN_B01663_004543|Statsvagn, ceremonivagn, kröningsvagn av karosstyp - Livrustkammaren - 26137.tif
17446|200291|M_B\M_B00000-00999\M_B00300-00399|LN_B00372_003252|Trollkarlsdräkt, tungutisk eller jakutisk - Livrustkammaren - 17446.tif
77572|206350|M_B\M_B02000-02999\M_B02300-02399|LN_B02399_005279|Stridslie, Sverige, 1700-tal. Använd vid Stora daldansen 1743 - Livrustkammaren - 77572.tif
90043|189234|M_DIG\M_DIG3000-3999\M_DIG3600-3699|hm_dig3627|Flagga från utställningen Vackert vikt - Hallwylska museet - 90043.tif
60805|200950|M_B\M_B05000-05999\M_B05900-05999|LN_B05937_008817|Tröja - Livrustkammaren - 60805.tif
52304|202122|M_B\M_B06000-06999\M_B06500-06599|LN_B06536_009416|Linnestrumpa buren av Gustav II Adolf i slaget vid Lützen - Livrustkammaren - 52304.tif
87769|188878|M_DIG\M_DIG3000-3999\M_DIG3200-3299|hm_dig3250|Reprofotografi av bild från resealbum, i samband med utställningen Samtida venetianskt konstglas - Hallwylska museet - 87769.tif
18789|199540|M_B\M_B13000-13999\M_B13800-13899|LN_B13802_016682|Uniformsrock buren av Karl XII vid Fredrikshall den 30 november 1718 - Livrustkammaren - 18789.tif
68398|190300|M_DIG\M_DIG5000-5999\M_DIG5100-5199|lm_dig5108_27895|Rem - Livrustkammaren - 68398.tif
59946|191822|M_A\M_A00000-00999\M_A00200-00299|LN_A00227_000227|Rustkammare - Livrustkammaren - 59946.tif
390|201436|M_B\M_B01000-01999\M_B01000-01099|LN_B01020_003900|Falkernerarpuka av brons, syrisk-egyptisk, ca 1300, äldsta bevarade exemplaret - Livrustkammaren - 390.tif
9570|202809|M_B\M_B07000-07999\M_B07200-07299|LN_B07231_010111|Bardisan för drottning Kristinas drabanter m: 1648-49, tillverkad vid Jäders bruk - Livrustkammaren - 9570.tif
68938|204672|M_B\M_B01000-01999\M_B01600-01699|LN_B01648_004528|Dolk av yatagantyp, Konstantinopel 1697 - Livrustkammaren - 68938.tif
8474|190333|M_DIG\M_DIG5000-5999\M_DIG5100-5199|lm_dig5141_28866|Del av hästrustning - Livrustkammaren - 8474.tif
87368|190092|M_DIG\M_DIG4000-4999\M_DIG4900-4999|hm_dig4997_2167|Konfirmationsgåvor till Wilhelmina - Hallwylska museet - 87368.tif
68589|192570|M_A\M_A01000-01999\M_A01000-01099|LN_A01038_001038|Lunt-hjullåsbössa - LRK - Livrustkammaren - 68589.tif
213|193711|M_A\M_A02000-02999\M_A02100-02199|LN_A02130_002130|Bröstharnesk - Livrustkammaren - 213.tif
87553|190983|M_DIG\M_DIG6000-6999\M_DIG6700-6799|lm_dig6733|Till boken - utställningen Kunglig Vintage - Livrustkammaren - 87553.tif
87724|190932|M_DIG\M_DIG6000-6999\M_DIG6600-6699|sm_dig6670|Indianföremål. Amulett med vargkäft - Skoklosters slott - 87724.tif
51605|193939|M_A\M_A02000-02999\M_A02400-02499|LN_A02426_002426|Hatt - Livrustkammaren - 51605.tif
39532|195045|M_T\M_T11000-11999\M_T11200-11299|hm_t011241|Klädsel; länstol i rökrummet - Hallwylska museet - 39532.tif
15|191705|M_A\M_A00000-00999\M_A00100-00199|LN_A00150_000150|Rörsköld, kalkan - Livrustkammaren - 15.tif
9512|202236|M_B\M_B06000-06999\M_B06600-06699|LN_B06651_009531|Jaktväska - Livrustkammaren - 9512.tif
88023|191333|M_DIG\M_DIG6000-6999\M_DIG6900-6999|sm_dig6986|Web, Kungssalen. Interiör, detalj, tak, drake - Skoklosters slott - 88023.tif
85948|188825|M_DIG\M_DIG3000-3999\M_DIG3100-3199|sm_dig3180|Lakan med broderi - Skoklosters slott - 85948.tif
52751|196851|M_B\M_B11000-11999\M_B11000-11099|LN_B11006_013886|Lekvagn, "high flyer phaeton", för prinsessan Lovisa - Livrustkammaren - 52751.tif
24037|187628|M_DIG\M_DIG2000-2999\M_DIG2300-2399|lm_dig2327_17544|Karusellsko - Livrustkammaren - 24037.tif
68925|204442|M_B\M_B01000-01999\M_B01500-01599|LN_B01518_004398|Kompanifana liv-o hustrupper - Livrustkammaren - 68925.tif
25784|192547|M_A\M_A01000-01999\M_A01000-01099|LN_A01013_001013|Tornerschabrak - Livrustkammaren - 25784.tif
42908|192586|M_A\M_A01000-01999\M_A01000-01099|LN_A01055_001055|Värjfäste pagevärja - Livrustkammaren - 42908.tif
17701|207030|M_B\M_B02000-02999\M_B02900-02999|LN_B02922_005802|Fotangel - Livrustkammaren - 17701.tif
39426|194799|M_T\M_T10000-10999\M_T10100-10199|hm_t10181|Möbeluppsats, 12 delar, VI:II:A.a.11 - Hallwylska museet - 39426.tif
18569|197488|M_B\M_B11000-11999\M_B11600-11699|LN_B11602_014482|Snapplås, springlås, utfjäderslås av norsk typ, 1600-tal, från Sigdals sn, Buskerud - Livrustkammaren - 18569.tif
43724|201949|M_B\M_B06000-06999\M_B06300-06399|LN_B06335_009215|Läderkanonen från Tidö - Livrustkammaren - 43724.tif
60873|202202|M_B\M_B06000-06999\M_B06600-06699|LN_B06617_009497|Livgehäng för värja - Livrustkammaren - 60873.tif
10194|199306|M_B\M_B13000-13999\M_B13400-13499|LN_B13471_016351|Fischy - Livrustkammaren - 10194.tif
65116|194834|M_T\M_T10000-10999\M_T10200-10299|hm_t10284|Vapenrummet. Rustningar - Hallwylska museet - 65116.tif
85508|190248|M_DIG\M_DIG5000-5999\M_DIG5000-5099|lm_dig5064_27835|Ryggstycke - Livrustkammaren - 85508.tif
