KueId|KueVorNameS|KueNameS|KudDatierungS|KudJahrVonL|KudJahrBisL|KudOrtS|KudLandS|KueFunktionS|ObjId
3138|Conrad P J|Betzholz||||||Premiärlöjtnant|41972
3140|Johannes|Beugel (Buegel)||||||klingsmed|41751;48104
3155|Märta|Bexell||||||fru|37083;64101
3176|T|Bianchini||||||Mosaikhandlare|17204
3202|Anna Paulina|Bielke||||||grevinna|50110;54522
3206|Nils|Bielke|*7.2.1644|1644|1716|||greve fältmarskalk|34169;24470;32641;22236;24471;24474;24475;40567;24476;49003;40568;24347;24472;52447;60197;47124;24457;41600;44152;41184
3207|Nils Adam|Bielke||||||greve, riksråd|40197;54496;46493;55120;67083;46489;54446;67058;67054;57072;54522
3208|Sten|Bielke||||||greve|50110;50269
3211|Ture|Bielke|*8.9.1829|1829|1899|Sturefors|Sverige|greve|46515;40197;54459;53235;49185;54496;54453;54421;54519;54456;46489;53239;54418;50367;46493;41600;41746;55072;55053;53832;50123;54518;67083;54487;42940;54408;54417;40335;68484;68475;53242;54485;47740;46144;40947;54522;54521;41102;54392;54560;54572;54412;46499;54546;54567;54566;54543;52175;54439;54397;53888;54446;54428;54585;42792;49192;55167;50272;54415;69903;68473;54574;54577;54540;67058;42957;54573;46173;67054;57072;37614;54394;54395;36763;36762
3212|Ture Gabriel|Bielke|1684 - 1763|1684|1763|Stockholm|Sverige|greve, riksråd|40197;41858;50110;46508;46173;50367;41183;41182;46144;42792;41184
3213|Ture Gabriel|Bielke||1894|1940|||greve|41381;50110;41379;54522
3214|Ture Turesson|Bielke||||||Major|50110;54522
3215|Nils|Bielke||1917||||greve|41408;41384;41381;41380;41383;41382;41378;41379
3217|Carl Gustaf|Bielke|1683* - 1754+|1683|1754||Sverige|greve|49003;32633;42792
3234|Hogenskild|Bielke||||||friherre, riksråd|32641
3240|Svante|Bielke||||||greve|53238
3241|Sigrid|Bielke||||||grevinna|59866;59386;59387;59396
3247|Eva|Bielke|*14.12.1706|1706||Stockholm|Sverige|grevinnan|49006
3261|C B|Bignolli||||||bössmed|44276
3284|Johan Peter|af Billbergh|||||||37319
3367||Bizet||||||sadelmakare|67906
3384|Magnus F F|Björnstjerna||||||greve, general|51775;38278;37012;51776
3398|Nils|Björsell||||||fotograf|4792
3434|Samuel|Blomberg||||||guldsmed|46537
3442|A G|Blomgren||||||pistolsmed|53256
3446|Sven|Blomquist||||||herr|41535
3451|Francesco (Francois, Frantz)|Bourgeois||||||bössmed|40759
3534|I E|Broman|||||||41051
3562||Busoms||||||bössmed|48151
3570||Cecilia Renata av Polen||||||drottning|39146
3604|Gebhard Leberecht|Blücher von Wahlstatt||||||furste, generalfältmarskalk|45668
3639|Gerda|Boberg||||||fru|48003
3655|Michel|Boche||||||tillbehörstillverkare|39811
3659|Johann Friedrich|Bock||||||svärdfejare|39975
3686|Maerten|Boelema de Stomme||||||konstnär|14150
3696||Bogislaw XIV av Pommern||||||hertig|45532
3713|Fredrik Carl|Boije||||||Kammarherre|54170
3727|John|Boklund||||||professor|68568;68569;63650;45946
3728|Signe|Boklund||||||fru|68568;68569;63650;45946
3731|Lars|Bolander||||||Hovmålare|62784;61977
3742|Erik|Bolin||||||herr|51983
3757|Ethel|Bolinder f. Chantrey Johnson||||||konsulinna|67978
3786|Peter|Bom (Boman)||||||livdrabant|69000
3788|Edvard Alfred|Boman|1829 - 1887|1829|1887|Stockholm|Sverige|Byggmästare|18239;18237;18652
3818|Jedvard Knutsson|Bonde|||||||58918
3905|Gerard|ter Borch (Terborch)|1617 - 1681|1617|1681|Zwolle - Deventer|Nederland|Konstnär|14165
3924|Axel A.|Borg||||||Antikhandlare,snickare|45899
3967|Hieronimus|Borstorffer (Parstorffer, Borsdorffer, Borstdorffer)||||||stockmakare|52822
3977|Adolf|Bosch||||||bössmed|42914
3985|Folke|Boström||||||assistent|46561
4008|Gun|Botvidson||||||fröken|42107
4011|Edmée B.|Bouchardon||||||skulptör|65456
4019|Francois|Boucher||||||konstnär|52169;17563
4020||Au Bon Marché||||||varuhus|15559
4029||Bounon (Brunon)||||||Klingsmed|39429
4057|Eudal|Camps , Cams||||||bössmed|55200
4084|Miguel|Cantero||||||klingsmed|46557
4104|Herman von|Cappel||||||överste|23513
4147||Carl, hertig av Västergötland|*27.2.1861|1861||Stockholm|Sverige|prins|17739;38913;42239
4156|Eric|Bourghardt||||||konsthandlare|38335
4176|Nicolas Noël|Boutet||||||hovbössmed|41312;22164;40186;40143
4231|Arnoldt|Brach||||||klingsmed|41894
4232|Jacob|Brach||||||klingsmed|47167;48891
4240|Thomas|Brachfeldt||||||guldsmed|42960
4254|Abraham|Brahe||||||Generalmajor|46508
4255|Magnus|Brahe||||||greve, riksmarskalk|22931;21507;24752;23185;32885;42192;24429;23001;32442;32323
4256|Per|Brahe||||||greve riksdrots|34338;33364;22930;21460;22931;34339;50267;22928;22929
4258|Erik|Brahe|1722-06-23 - 1756-07-23|1722|1756|||greve, överste|35633;21507;42792
4260|Abraham|Brahe||||||greve|34338
4261|Ebba|Brahe g De la Gardie||||||grevinna|23364
4266|Magnus Fredrik|Brahe||||||riksråd, greve|52116;33017;52110;24628
4267|Nils Fredrik|Brahe||||||greve, hovstallmästare|52115
4270|Per (Peder)|Brahe||||||greve|22923;36345
4271|Nils|Brahe||||||greve, riksråd|22657;22682
4274|Aurore Vilhelmina|Brahe f. Koskull||||||grevinna|23107
4281|Elsa Beata|Pfalz-Zweibrücken, f. Brahe||||||Grevinna|22933
4284|Joakim|Brahe|||||||22922
4288|Nils Claes|Brahe||||||greve|17306;17396
4292|Tycho (Tyge)|Brahe||||||astronom|32609
4310|Konstantin II|Brancoveanu||||||prins|43850
4315|Johann Cristian|Brandt d.y.|1722 - 1795|1722|1795||Schweiz|Konstnär|15677;15673
4336|Anders Gustaf|Bratt||||||Konstnär|11531
4360|Henryk Michael Anton|Bukowski Bończ|6.1.1863 - 11.3.1900|1863|1900|||konsthandlare|16477;17570;18239;14172;16665;17301;11537;17742;17474;17909;11526;17947;17999;11343;17416;17826;17674;17824;17386;17673;17410;17671;17454;11508;17862;17433;17753;13466;16804;17864;17414;17312;17676;11705;11700;17559;17549;17500;18652;18237;17791;17509;17428;17427;13472;13473;17391;17823;11494;17836;17910;17852;17959;11518;17948;17952;17957;17499;17973;17389;13457;13490;13491;17804
4363|C J|Bulér||||||Sockerbagare|13274
4385|Manon|Bunel f. Buteux|||||||17907
4429|Hans|Clerck||||||hovguldsmed|44239
4443|Leonard|Cleuter (Cloeter, Clöter)||||||pistolsmed|43612
4444|Marten|van Cleve|1527 - 1581|1527|1581|Antwerpen|Belgien|Konstnär|24929
4455|Christian|Cloeter (Cleuter)||||||pistolsmed|41089
4471|Carl Fredrik|Braunerhielm||||||Kammarherre|17060
4511|Hannas von|Bredow|||||||37122
4512|Bartholomeus|Breenbergh|1599 - 1659|1599|1659|Deventer - Amsterdam|Nederland|Konstnär|14146
4527|Claes|Breitholtz||||||Överstelöjtnant|39615
4530|Wilhelm|Breitsprecher||||||Hovskomakare|16019
4594|Robert August|Brieskorn||||||guldsmed|37180
4598||Brifaud||||||bössmed|46581
4599||Brigg||||||silversmed?|47807
4617|Emilia|Broomé|||||||16948
4622|Jean|Brosard (Brosa)||||||pipsmed|41163
4638|Hugo|Brouwer|||||||13463
4678|Gomer|Brunius||||||Dr|39599
4705||Carl Johan, hertig av Dalarna|*31.10.1916|1916||||prins|52182;52188;52187
4707|C F|Carlman||||||hovjuvelerare|38408;37307;37230;38301;37029;38330;37238;38166;36598;38280;37104;38306;38327;37110;38302;37142;36835;38329;38148;37735
4708|Sven|Carlman|+11.10.1963||1963|Stockholm, stad|Sverige|hovjuvelerare|38396;44433
4714|Axel|Carlsson||||||konsthandlare|41253;62701
4762||Carola (Carolina) av Sachsen||||||drottning|46769;46780;46776;46761;46759;46758;46778;46754;46753
4894|Richard|Casparsson||||||Grosshandlare|40735;40734;41222;41300;40537;40536
4899|Hervor|Brusewitz||||||sömmerska|51880
4913|N G|Bruzelius||||||rektor|60227
4917|Theodor de|Bry||||||gravör|39773
4950|Engelbrecht|Bryngelsson||||||bonde, riksdagsman|48760
4951|Halvor|Bryngelsson||||||bonde|48760
4965||Buchard||||||Löjtnant|45470
5025|Anders|Bure (Bureus)||||||kartograf, matematiker|41667
5027|Johannes|Bure (Bureus)||||||riksantikvarie|41667
5046|H.|van der Burgh||||||Konstsamlare|11621
5061|Ulbo Aylva van|Burmannia||||||ambassadör|52168
5086|Sven|Burström||||||bössmed|42821
5142|Richard|Butler||||||lord|44408
5188|Friedrich W von|Buxhövden||||||fältmarskalk|37591
5232|Seved|Bååt||||||Riksskattmästare|22321
5235|Björn Pederson|Bååt||||||Riksråd|16423
5246|Nils|Bäckström|||||||52644
5286||Börjesson||||||pastor|60274
5332|Diego de|Caias||||||svärdfejare, damaskör|53676
5419|Carl|Carlstedt||||||herr|43597
5440|Hans|Casper||||||täckemakare|42645;42632;42635;42643;42637
5454|N E|Cassel|||||||66631
5458|Olof Persson|Cassmyr (Kassmyr, Cassimir)||||||pipsmed|46510
5520|Samuel|Cavallin||||||Ryttmästare, 2:e kornett|45828
5547|Erik|Dahlbergh|1625-10-10 - 1703-01-16|1625|1703|||greve, fältmarskalk|41751;55278
5599|F P|Devisme||||||bössmed|46155;46154;40722
5614|Jonas|Cederman||||||buntmakare|57993;62619;67862
5618|Carl Emanuel|Cederström||||||Kaptenlöjtnant|41532
5619|Carl Gustaf Rudolf|Cederström||||||Kabinettskammarherre|36835
5624|Emanuel Ture|Cederström||||||friherre godsägare|61024;62364
5628|Rudolf (Carl Olof)|Cederström||||||Överintendent|48018
5631|Bror Claes Arvid|Cederström||||||Generallöjtnant|41283;45764;42319;49014;42324;45470
5634|Bror Carl Gustaf|Cederström||||||friherre, överste|51854
5638|Olof Carlsson|Cederström||||||friherre|42125
5654|Benvenuto|Cellini||||||skulptör, guldsmed|62740
5701|Hag Aly Ben Ismail|Chabistary|||||||18318;17628;18559
5716||de Chaladar||||||greve|48762
5718|Jean-Francois|Chaleier||||||bössmed|54415
5737||Champion|||||||40095
5773|Vanier|Chardin|||||||39176
5783||Hedvig Elisabeth Charlotta av Sverige|*22.3.1759|1759||Eutin|Tyskland|drottning|54170;52168;58037;58039;46620;57943;67862;68033;68030;46634;46638;58044;58040;58042;56315;53884;58068;67879;11496;45688;46640;69479;64086
5800|Alexandre|Chasteau||||||bössmed|42950
5816|René|Chauveau||||||skulptör|52167
5841||Chevalier|||||||17866
5890||Christian Albrecht av Holstein-Gottorp||||||hertig|41980
5893||Christian av Halberstadt||||||Biskop|41578
5951||Christian II av Danmark-Norge-Sverige||||||kung|39755;62721;38556;62711;62710;62712;62715;62714;62717;62716
5955||Carlos III av Spanien||||||kung|52103
5956||Christian II av Sachsen||||||kurfurste|36978
5974||Christian IV av Danmark||||||kung|32293;24355
6021|Isak Gustav|Clason|30.7.1856 - 19.7.1930|1856|1930|Falun - Rättvik|Sverige|Arkitekt|10440
6027|Olof Carl Bengt|Claudelin|||||||5824
6129|Ezechias|Colas||||||bössmed|47686;47685
6139||Christian V av Danmark||||||kung|41393;41134
6141||Christian VI av Danmark||||||kung|52106
6144||Carlos VII av Neapel-Båda Sicilierna||||||kung|52103
6147||Carl XVI Gustaf av Sverige|1946-04-30|1946||Haga slott, Solna|Sverige|kung|43242;52980;63936;57818;51880
6167|Nils|Dacke||||||bondeledare|39631
6190||Diamanti||||||låssmed|40209
6203|Johann|Diboe||||||kornett|53620
6307||Collins||||||svärdfejare|41619
6310|Per|Collingson||||||smed|42528;42513;55445;67562
6359|Gustav Philip|Creutz||||||greve, riksråd|67848
6380|Adolf Johan|Crusebjörn|||||||56430
6383|Johan Jespersson|Cruus af Edeby||||||kammarråd|32325
6393|John|Cuff||||||optiker|55120
6397|(Alfred) Henrik|de Maré|||||||5884
6437|Joseph|Deop||||||bössmed|55200
6459|Friedrich de|Derich (Derichs, Diederichs)||||||kapten|53350;55479
6512|J|Eriksson||||||herr|47804
6522|Rudolf|Colloredo||||||greve, fältmarskalk|24195
6542|Samuel|Colt|1814* - 1862+|1814|1862|Hartford, Conn.|USA|Vapenkonstruktör, överste|41283;45145
6555|Lazarino|Cominazzo||||||pipsmeder|41195;41140;49224;47675;41193
6556|Fortunato Lazarino|Cominazzo||||||pipsmed|41234
6557|Giovanno Lazarino|Cominazzo||||||pipsmed|54385;41087
6558|Angelo Lazarino|Cominazzo||||||pipsmed|40824;40823
6559|Lazaro Lazarino|Cominazzo||||||pipsmed|45960;43606;41183;41182;46144;45959
6635|Joseph|Contriner||||||bössmed|52858
6699|Alexander|Cooper||||||Konstnär|37707
6775|Gajus Mucius Scaevola|Cordus|||||||54580
6810||Corniquet||||||brodör|40653;40652;40661;40659;40655;40654;40686;40656;40657;40651;40658;40660
6889|Julien|Coulaux (Couleau)||||||bössmed|42188;42189
6943|Carl Fredrik|Coyet||||||amiral|37054;56464
6945|Gillis|Coyet||||||guldsmed|36756;46544
6960|Lucas|Cranach|1472 - 1553|1472|1553|Kronach - Weimar|Tyskland|Konstnär|23011
6969|Domenico|Cravanzola||||||hovguldsmed|38064
6997|Otto Casimir*|Cronstedt|1833 - 1907|1833|1907|Sverige|Kilsgård|greve, kamrer KMO|37151;61239;61238;61240;37103
6998|Daniel|Cronström||||||kommissionssekreterare|38569;46033
7000|Markus Kock|Cronström||||||myntmästare|38569
7001|Carl Johan|Cronstedt|1709 - 1777|1709|1777||Sverige|Överintendent|61211
7030|Rolf|de Maré|||||||5576;4792;4814
7058|I|Des Granges||||||pistolsmed|45929;45930
7060||Desideria av Sverige-Norge|*8.11.1777|1777||Marseilles|Frankrike|drottning|54162;37028;57905;42239;63845;41037;62153;57505;54135;54152;63887;54150;54155;68340;57708;67862;54146
7066||Desmouchettes||||||klingsmed|42237
7109|Johan Henrik|Drachman||||||svärdfejare|42263;42262
7116|Wilhelm Böös|Drakenhielm||||||kammarråd|47692
7137|Karl Eugen de|Croy||||||hertig|44087
7140||Kristina av Sverige|7.12.1626 - 1689|1626|1689|Stockholm|Sverige|drottning|14172;42288;42564;42565;42566;42567;42560;42561;42562;42563;42872;40824;40823;42271;45922;42609;42608;42763;32442;42607;42296;40234;42295;42290;38559;41592;39627;39626;42753;42752;36977;44046;42612;42613;42593;42611;39834;43866;43867;43865;39839;43860;58242;58243;39634;39633;44581;42589;42582;42583;42587;42584;42585;44564;45996;41460;39723;42590;42610;45561;45560;46016;45565;39318;45567;68060;45568;41982;41981;41980;41989;42734;42736;44556;69693;69692;68076;45576;45578;39385;41237;41992;39904;44544;41696;68044;37704;42558;45546;39321;39523;41977;39322;39323;41604;41978;41607;18038;41602;21420;33054;42016;41450;42667;42665;42664;41459;42669;42668;43656;47190;47191;40569;42304;42303;42573;42572;42571;42576;42575;42574;41449;42673
7146|Edmond|Culpepper||||||instrumentmakare|55105
7157||Cupido|||||||46556
7225|Oskar Johan Erik af|Dalström||||||Major|53252
7248|Gille|Damour, Damou||||||bössmed, ålderman|46144
7251|Carl|Damström (Danström)||||||svärdfejare, silversmith|50214;50216
7252|Irene|Dana||||||modeskapare|68741
7254|Daniel|Danatz (Donatz, Donatus)||||||bössmed, ålderman|39611;39612
7261|Jakob|Danckwardt-Lillieström||||||ryttmästare|45829
7299||Danner ? (Danner04)||||||bössmed|39780
7300|Johann Heinrich|Dannecker|||||||17417
7302|Louise|Danner||||||Länsgrevinna|58914
7304|Wolf|Danner||||||låssmed|52846
7305||Danner ?||||||bössmed|39780
7311|Hans|Danner||||||pipsmed|39764;41093;41094;41106
7331|Fritz Ludvig|von Dardel||||||Överintendent|47221;59607
7341|Jürgen|Dargeman||||||guldsmed|45563;42765;42763;41237
7355|Charles|Dartené||||||svärdfejare|40603;60023;59062;41793;60025;60027;60032;60030;60022;60029
7396|Arnold|David||||||bössmed|52792
7437||Davoud, Dâwûd||||||klingsmed|43939
7485|Louis Marie|De Camps||||||Generalmajor|46037
7501|Fredrik|De Derichs||||||kapten|53416;53437
7556|Ebba|De la Gardie||||||fröken|57348;55601
7557|Gustaf Adolf|De la Gardie||||||greve|45959;45960
7559|Magnus Gabriel|De la Gardie||||||greve, riksdrots|44481;43733;58228;42572;42571;43176;38542;59764;42948;42735;59763;42947
7563|Carl Gustaf Magnus Baltzar|De la Gardie||||||greve|46039
7567|Axel Jakob|De la Gardie||||||greve|16426
7569|Beata|De la Gardie||||||friherrinna|22934
7575|Jacob Casimir|De la Gardie||||||greve|59829;56386;59825
7591|Etienne|Delaune (de Laune, de Laulne, Delaulne)||||||gravör|28247
7594|Claude|De Laval|1589* - 1646+|1589|1646||Sverige|Överstelöjtnant|23520
7648|Axel|Eklund||||||husgerådsmästare|43643
7668|Otto Christian|Ekman||||||provinsialläkare|58950;55928;61024;60223;60222;60221;51458;41528;60262;60218
7694|Jacob Heinrich|Elbfas||||||konstnär|21861
7698|J|Elers||||||Major|42204
7700||Eley||||||ammunitionstillverkare|68604;68603
7707|Nere Albert|Elfwing||||||överste|41619;69151
7715|Pieter Janssens|Elinga|1623 - 1682|1623|1682|Amsterdam|Nederland|Konstnär|14187
7718||Elisabeth av Spanien||||||drottning|24490
7721||Elisabeth Petrovna av Ryssland||||||kejsarinna|40208;41852
7735|Markus|Diefstätter||||||klingsmed|50089
7766|Friedrich|Dietrichs|||||||36987
7767|Berent von|Dietrichsen|||||||37607
7769|L|Dietrichson||||||professor|37607
7772||Dietrich|||||||59876;43683
7788|Kaspar|Dinckels||||||bössmed|47696
7852|Martin|Dinckel||||||bössmed|54913
7856|Baltzar|Dinet||||||Hovskräddare|62169;62170;55543;42652;42653;67896;67894
7858|Clemens|Dinger (Deinger)||||||klingsmed|42766
7883|Jonas|Edlund||||||silversmed|48772
7928|Ingebrigt|Eggan|||||||39074
7933|Hindrich|Eggertz||||||knoppmakare|61716;61718;45168;66385
7945|Johann Gottlob|Ehder|||||||17780
7953|Gösta (Gustaf J V)|Ehrenborg||||||Kammarherre|39176
8011|James|Dixon||||||tillbehörstillverkare|39815
8020|Christoph|Dobell||||||bössmed|39793;39763
8038|Christoffer Delphicus v|Dohna||||||greve|42841
8042|Fredrik Christoffer|Dohna||||||greve|42841
