<!--From: kuenstler_1.2.csv -->
''wikipedia-link'' is used for descriptive texts whereas creator is a creator template on commons and ''commoncat'' is a relevant category on commons.

Set commonsconnection of irrelevant events to "-". Note that creator is only relevant for artists

===kueId|frequency|name|wikipedia-link|creator|commoncat===
*18975|93|Ludvig XIV av Frankrike (kung)|[[:sv:Ludvig XIV av Frankrike]]|-|[[:Category:Louis XIV of France]]
*10613|93|Gustav I Vasa av Sverige (kung, 1496-) Lindholmens gård, Sverige|[[:sv:Gustav Vasa]]|-|[[:Category:Gustav I of Sweden]]
*25847|92|Carl Filip Sack (friherre, 1876-1931)||-|[[:Category:Carl Filip Sack]]
*22116|83|Oscar II av Sverige(-Norge) (kung, 1829-) Sverige|[[:sv:Oscar II]]|-|[[:Category:Oscar II of Sweden]]
*26752|82|Sibylla, hertiginna av Västerbotten (prinsessa av Sverige, 1908-) Schloss Friedenstein, Gotha, Tyskland|[[:sv:Sibylla av Sachsen-Coburg-Gotha]]|-|[[:Category:Princess Sibylla of Saxe-Coburg and Gotha]]
*18001|78|Kunz (Konrad) Lochner (harnesksmed)|[[:en:Kunz Lochner]]||[[:Category:Kunz Lochner]]
*35090|77|Kungl. Majestäts Orden (KMO),|[[:sv:Kungl. Maj:ts orden]]|-|
*16751|76|Eliseus Libaerts (guldsmed)|||[[:Category:Eliseus Libaerts]]
*27271|75|Sigismund II August av Polen (kung)|[[:sv:Sigismund II August]]|-|[[:Category:Sigismund II August of Poland]]
*36352|73|Statens historiska museum (Museum)|[[:sv:Statens historiska museum]]||
*27683|73|Alexander Ludvig Soldin (Grosshandlare)|||
*3128|72|Gabor Bethlen av Iktár, furste av Siebenbürgen (furste)|[[:sv:Gábor Bethlen]]|-|[[:Category:Gábor Bethlen]]
*15128|72|Johan III av Sverige (kung, 1537-) Stegeborgs slott, Sverige|[[:sv:Johan III]]|-|[[:Category:John III of Sweden]]
*29043|65|Erik Säterbeck (Skräddare)||-|[[:Category:Erik Säterbeck]]
*12517|63|(Anna Fridrica) Wilhelmina von Hallwyl, f. Kempe (grevinna)|[[:sv:Wilhelmina von Hallwyl]]|-|[[:Category:Wilhelmina von Hallwyl]]
*19314|61|Margaretha fru Ambler (prinsessa, 1934-) Haga slott, Sverige|[[:sv:Prinsessan Margaretha]]|-|[[:Category:Margaretha (Swedish princess 1934)]]
*9840|59|Fredrik I av Sverige (kung, lantgreve av Hessen, 1676-) Kassel, Tyskland, Hessen|[[:sv:Fredrik I]]|-|[[:Category:Frederick I of Sweden]]
*32929|59|Arboga faktori (Vapenfabrik)|||
*21871|59|Axel Oxenstierna af Södermöre (greve, rikskansler)|[[:sv:Axel Oxenstierna]]|-|[[:Category:Axel Oxenstierna]]
*24895|58|Johan Ring (bössmed)||-|[[:Category:Johan Ring]]
*17256|57|Carl Robert Lamm (ingenjör)|[[:sv:Carl Robert Lamm]]|-|[[:Category:Carl Robert Lamm]]
*35051|55|Kungl. Hovstallet (stall)|[[:sv:Hovstallet]]|-|[[:Category:Hovstallet]]
*24829|54|Sofia Magdalena av Sverige (drottning, 1746-) Christiansborgs slott, Köpenhamn, Danmark|[[:sv:Sofia Magdalena av Danmark]]|-|[[:Category:Sophia Magdalena of Denmark]]
*3211|53|Ture Bielke (greve, 1829-1899) Sturefors, Sverige|[[:sv:Ture_Nilsson_Bielke]]|-|[[:Category:Ture Nilsson Bielke]]
*21471|50|Oskar I av Sverige-Norge (kung, 1799-) Paris, Frankrike|[[:sv:Oscar I]]|-|[[:Category:Oscar I of Sweden]]
*11169|48|Irma (Ingeborg Matilda) von Geijer, f. von Hallwyl (grevinna)|[[:sv:Irma von Geijer]]||
*9974|47|Bernhard Axel Fleetwood (friherre)|||
*28490|47|Johann Streiff von Lauenstein (överste)|||
*5951|46|Christian II av Danmark-Norge-Sverige (kung)|[[:sv:Kristian II]]||[[:Category:Christian II of Denmark]]
*22798|43|Jacob Pasquier (se Paquet,Paquier) (damaskerare)|||
*15813|43|Heinrich Knopf (harnesksmed)|||
*27575|40|Sofia av (Nassau) Sverige (drottning av Sverige, 1836-1913) Schloss Biebrich, Tyskland|[[:sv:Sofia av Nassau]]||[[:Category:Sofia of Nassau]]
*27205|40|Christopher Sergell (brodör)|||
*316|39|Adolf Fredrik av Sverige (kung, 1710-) Schloss Gottorp, Tyskland|[[sv:Adolf Fredrik]]||[[:Category:Adolf Frederick of Sweden]]
*24755|38|Ellen (Fridrica Wilhelmina) Roosval;de Maré,  f. von Hallwyl (grevinna)|[[:sv:Ellen Roosval von Hallwyl]]||[[:Category:Ellen Roosval von Hallwyl]]
*12518|38|Walther von Hallwyl (1839-1921) Bern - Stockholm, Schweiz - Sverige|[[:sv:Walther von Hallwyl]]||[[:Category:Walther von Hallwyl]]
*27272|37|Sigismund III (I) av Polen-Sverige (kung)|[[:sv:Sigismund]]||[[:Category:Sigismund III of Poland]]
*18575|36|Louise av Sverige, drottning av Danmark (drottning av Danmark, 1851-) Stockholm, Sverige|[[:sv:Louise av Sverige]]||[[:Category:Queen Louise of Denmark]]
*13809|36|Hedvig Eleonora av Sverige (drottning, 1636-) Gottorps slott, Tyskland, Holstein-Gottorp|[[sv:Hedvig Eleonora av Holstein-Gottorp]]||[[:Category:Hedwig Eleanor of Sweden]]
*9831|35|Friderich Feuerbrun (pärlstickare)|||
*7060|35|Desideria av Sverige-Norge (drottning, 1777-) Marseilles, Frankrike|[[:sv:Drottning Desideria]]||[[:Category:Desideria of Sweden]]
*25198|35|Alexej Ivanovitj Schachovskoj (furste)|||
*15980|35|Theodor Keller (greve, general)|[[:sv:Fjodor Keller]]||
*15979|35|Alexander Keller (greve)|[[:ru:Келлер, Александр Фёдорович]]||
*31684|34|Johan Wijkman (Konstnär)|||
*5783|33|Hedvig Elisabeth Charlotta av Sverige (drottning, 1759-) Eutin, Tyskland|[[sv:Hedvig Elisabet Charlotta av Holstein-Gottorp]]||[[:Category:Hedwig Elizabeth Charlotte of Holstein-Gottorp]]
*13523|33|David Casparsson Kohl (rustmästare, etsare)|[[:sv:David Casparsson Kohl]]||
*31582|32|Victoria av Sverige (drottning av Sverige, 1862-1930) Karlsruhe, Tyskland|[[sv:Victoria av Baden]]||[[:Category:Victoria of Baden]]
*10651|32|Gustava Charlotta Granath, f. Fleetwood (Friherrinna)|||
*18574|31|Louise av Sverige (drottning, 1889-1965)|[[sv:Louise Mountbatten]]||[[:Category:Queen Louise of Sweden]]
*9426|30|Fredrik Adolf av Östergötland (hertig, 1750-) Stockholm, Sverige|[[:sv:Fredrik Adolf, hertig av Östergötland]]||[[:Category:Frederick Adolph of Sweden]]
*29160|30|Fr. V. Tunborg & Co (Skrädderi)|||
*15665|30|Simon Jüterbock (hovsadelmakare)|||
*15426|30|Josefina av Sverige (drottning, 1807-) Milano, Italien|||
*30306|29|Ulrika Eleonora av Sverige (drottning, 1688-) Stockholms slott, Sverige|[[sv:Ulrika Eleonora]]||[[:Category:Ulrika Eleonora of Sweden]]
*9976|28|Carl Axel Fleetwood (friherre)|||
*7856|28|Baltzar Dinet (Hovskräddare)|||
*7559|28|Magnus Gabriel De la Gardie (greve, riksdrots)|[[sv:Magnus Gabriel De la Gardie]]||[[:Category:Magnus Gabriel De la Gardie]]
*29376|28|Teresia, hertiginna av Dalarna (prinsessa av Sverige, 1836-) Schloss Triesdorf, Bayern, Tyskland|||
*18692|28|Lovisa Ulrika av Sverige (drottning, 1720-) Berlin, Tyskland|[[:sv:Lovisa Ulrika]]||[[:Category:Louisa Ulrika of Prussia]]
*17075|28|Joachim Kändler (Kandler, Kaendler) (skulptör)|||
*14657|28|Nils von Lantingshausen von Höpken (Löjtnant)|||
*8532|27|Ebba (Johanna Cecilia) von Eckermann, f. von Hallwyl,|[[:sv:Ebba von Eckermann]]||
*7355|27|Charles Dartené (svärdfejare)|||
*19846|27|Ruprecht Miller (guldsmed)|||
*15703|27|Fr. Kaedings Efterträdare, Zittorin & Lundvik. (Hovskräddare)|||
*3206|26|Nils Bielke (greve fältmarskalk, 1644-1716)|||
*26554|26|Jörgen Seywollt (brodör)|||
*21361|26|Johan Neumann (kopparstickare)|||
*17671|26|Henry Lee (Master of the Armouries)|||
*9358|25|Eugen, hertig av Närke (prins, 1865-) Drottningholms slott, Sverige|||
*26639|25|Carl Gustaf Tessin (Envoyé, informator, 1695-1770) Sverige|||
*15941|25|Keibel, J (guldsmed)|||
*4707|24|C F Carlman (hovjuvelerare)|||
*30307|24|Ulrika Eleonora d.ä. av Sverige (drottning, 1656-) Köpenhamn, Danmark|||
*21612|24|Jakob Nussbaum (bössmed)|||
*25832|23|Sofia Albertina av Sverige (prinsessa, 1753-) Sverige|||
*2580|23|Jean Baptiste Berain (ornamentstickare)|||
*24880|23|Rudolf II (Tysk-romersk kejsare)|||
*1542|23|August, hertig av Dalarna (prins, 1831-) Drottningholms slott, Sverige|||
*3212|22|Ture Gabriel Bielke (greve, riksråd, 1684-1763) Stockholm, Sverige|||
*19349|22|Maria Theresia av Österrike (kejsarinna)|||
*14902|22|Jean (Bror Johan) Jahnson (generalkonsul, 1854-1944) Stockholm, Sverige|||
*9546|21|Antonij Groot d. ä. (guldsmed)|||
*9144|21|Gustaf A F W von Essen (greve, hovstallmästare)|||
*20077|21|Maria Eleonora av Sverige (drottning, 1599-) Königsberg|||
*19110|21|Magnus av Östergötland (hertig)|||
*15525|21|Karl II av Spanien (kung)|||
*3215|20|Nils Bielke (greve, 1917-)|||
*18887|20|Augusta Lundin (sömmerska)|||
*15524|20|Katarina II av Ryssland (Kejsarinna)|||
*12075|20|Gustaf Adolf, Hertig av Västerbotten (prins, 1906-) Stockholms slott, Sverige|||
*21243|19|Gustaf Möllenborg (Hovjuvelerare, 1796-1851) Stockholm, Sverige|||
*20983|19|Frederic Muller,|||
*19591|19|Fredrik Robert Martin (Fil.dr, konstsamlare, 1868-) Stockholm, Sverige|||
*17746|19|Tobias Leij (Ley, Leuw) d.ä. (brodör)|||
*12076|19|Gustav av Sverige (kronprins, 1799-1877) Sverige|||
*5816|18|René Chauveau (skulptör)|||
*5654|18|Benvenuto Cellini (skulptör, guldsmed)|||
*31311|18|Ludolph Weser (Wehser),|||
*2953|18|André-Charles Boulle (Boule) (hovschatullmakare)|||
*2581|18|Louis Berain (ornamentstickare)|||
*23688|18|Bertrand Piraube (bössmed)|||
*23432|18|Johann Petter Pfeffer (hovsaldelmakare)|||
*22782|18|Johan Pasch (konstnär)|||
*20128|18|Johan Franz Meidinger (hovbössmed)|||
*20080|18|Jacques de Meaux (konstnär)|||
*19168|18|Adrien (Jacques A) Masreliez (bildhuggare)|||
*17745|18|Tobias Leij (Ley) d.y. (brodör)|||
*17645|18|Louis Le Conte (bössmed)|||
*13703|18|Claude Henrion (skulptör)|||
*12073|18|Gustav, hertig av Uppland (prins, 1827-1852) Haga slott, Sverige|||
*10259|18|Jacques Foucquet (konstnär)|||
*9282|17|Baltzar Friedrich,|||
*4762|17|Carola (Carolina) av Sachsen (drottning)|||
*4288|17|Nils Claes Brahe (greve)|||
*19111|17|Magnus Ladulås av Sverige (kung)|||
*16075|17|Karl Filip, hertig av Värmland (prins, 1601-) Revals slott, Estland|||
*8572|16|David Klöcker Ehrenstrahl (Konstnär, 1629-1698) Hamburg - Stockholm, Tyskland - Sverige|||
*6810|16|Corniquet (brodör)|||
*4266|16|Magnus Fredrik Brahe (riksråd, greve)|||
*32040|16|Vladislav IV av Polen (kung)|||
*16586|16|Julius (Johan J Ferdinand) Kronberg (konstnär)|||
*15698|16|Karl August (Christian August) av Sverige (kronprins)|||
*13485|16|Johanna Kempe, f. Wallis (Fru)|||
*12127|16|Gustaf VI Adolf av Sverige (kung, hertig av Skåne, 1882-) Stockholms slott, Sverige|||
*10521|16|Peter (Pieter) Froomen (From) (bössmed)|||
*3207|15|Nils Adam Bielke (greve, riksråd)|||
*26301|15|Schenk (Skomakare)|||
*17063|15|Wilhelm Kåge,|||
*15801|15|Karl Adolf (prins)|||
*15558|15|Johan Wilhelm Kindt (klingetsare)|||
*12082|15|Per Gustavsson (pipsmed)|||
*1069|15|Anna Jagellonica av Polen (drottning)|||
*9894|14|Fredrik III av Holstein-Gottorp (hertig)|||
*2583|14|Jehan (Johan) Beranger (brodör)|||
*24920|14|Ludvig Ripp (Vapenkonstruktör)|||
*23766|14|Carl Plageman (pärlstickare)|||
*23460|14|Eberhard Philipp (matematiker)|||
*21327|14|Napoleon I av Frankrike (kejsare)|||
*16048|14|Gotthard von Kettler av Kurland (Hertig)|||
*13896|14|Hitching,|||
*34765|13|Manufacture de Versaille (Vapentillverkare)|||
*30348|13|Georg Ulderich (brodör)|||
*29903|13|Jacob Engelberth Torsk (Hovjuvelerare, guldsmed, 1836-1860) Stockholm, Sverige|||
*2787|13|Jean Baptiste Bernadotte (Karl XIV Johan) (prins (Karl XIV Johan), 1764-) Pau, Frankrike|||
*27006|13|Publius Cornelius Scipio Africanus (konsul)|||
*25650|13|Peter Rungren (Skräddare)|||
*23724|13|Mathias Conrad Pistor (bössmed)|||
*21457|13|Jonas Ofrell (Präst, uppfinnare)|||
*18227|13|Carl Gustaf Liljedahl (hovdamaskör)|||
*14133|13|Hjalmar Mauritz Ludvig Holst (major)|||
*12669|13|Niclas Heimen (skulptör)|||
*10263|13|D G de Foullois (bössmed)|||
*65806|12|Vira bruk (klingtillverkare)|||
*4256|12|Per Brahe (greve riksdrots)|||
*35930|12|Norrköpings faktori (Vapentillverkare)|||
*32258|12|Herman Wrangel (riksråd, fältmarskalk)|||
*31207|12|Berta Wernqvist (mamsell)|||
*29913|12|Jacob Tostrup (guldsmed)|||
*27720|12|Johan Eberhard Sommer (stockmakare)|||
*27424|12|Sergej Dmitrievitj Sjeremetiew (greve)|||
*271|12|Carl Johan Adlercreutz (greve, general)|||
*26324|12|Jonas d.y. Schertiger (stockmakare, 1691-) Stockholm, Sverige|||
*19573|12|Marson (klingsmed)|||
*18678|12|Lovisa av Sverige (drottning av Sverige, 1828-1871) Haag, Nederländerna|||
*16903|12|Karl V (kejsare)|||
*16492|12|Georg Günther Kraill von Bemeberg,|||
*9980|11|Gustaf Erik Fleetwood (Disponent, 1800-1852)|||
*9201|11|Adam Anton Gerhard (bössmed)|||
*5773|11|Vanier Chardin,|||
*4255|11|Magnus Brahe (greve, riksmarskalk)|||
*407|11|Axel Ahrenfeldt,|||
*4019|11|Francois Boucher (konstnär)|||
*39603|11|Märthaskolans franska avdelning (Skrädderi)|||
*36406|11|Skattkammaren,|||
*35080|11|Kungl. Klädkammaren,|||
*31377|11|Emanuel M Wetschgi (bössmed)|||
*30617|11|Olof Werling,|||
*30351|11|Marie Ulfeldt,|||
*28182|11|Peter Starbus d.ä. (hovbössmed, 1648-1718) Stockholm, Sverige|||
*27649|11|Johan Gabriel Stenbock (greve, riksråd)|||
*27192|11|Giovanni Battista Serabaglio (harneskmakare)|||
*25200|11|Tobias Schaep (vävare)|||
*23977|11|Alexander E C G von Post (Kapten, 1843-1899) Stora Djulö, Sverige|||
*19756|11|Filippo Negroli (harnesksmed)|||
*19390|11|S Melin (överstinna)|||
*19389|11|Olof Werling Melin (överste)|||
*18974|11|Ludvig XIII av Frankrike (kung)|||
*17628|11|Jean Nicolas Le Clerc (pipsmed)|||
*12939|11|Christian Hammer (hovjuvelerare)|||
*12555|11|Gunnar Olof Hyltén-Cavallius (doktor)|||
*8891|10|Ferdinand IV av Neapel (kung)|||
*7668|10|Otto Christian Ekman (provinsialläkare)|||
*5614|10|Jonas Cederman (buntmakare)|||
*4176|10|Nicolas Noël Boutet (hovbössmed)|||
*38115|10|Brahe, grevliga ätten nr 1,|||
*35540|10|Älvdalens porfyrverk (porfyrverk)|||
*3451|10|Francesco (Francois, Frantz) Bourgeois (bössmed)|||
*33890|10|Husqvarna Vapenfabriks AB (Vapentillverkare)|||
*3384|10|Magnus F F Björnstjerna (greve, general)|||
*29615|10|Philippe Thomas (bössmed)|||
*29500|10|Pierre Thomas (bössmed)|||
*29499|10|Thomas (hovbössmed)|||
*29221|10|Abraham Tillberg (hovsvärdfejare)|||
*28337|10|Sara Larsdotter Stiernflycht (fru)|||
*2799|10|Birger Jarl (jarl)|||
*23687|10|Thomas Piquot (gravör)|||
*2031|10|David Bars (hovbössmed)|||
*17603|10|Anton Vincenz Lebeda (bössmed, 1797-1857) Prag, Tjeckien|||
*14474|10|Carl Hårleman (Överintendent)|||
*14244|10|Ivan IV av Ryssland (tsar)|||
*14160|10|I Honig (Skräddare)|||
*13946|10|Carl Fredrik Lotarius Hochschild (Utrikesminister)|||
*12840|10|Mårten Hindersson (Hindrichsson) (harneskmakare)|||
*10858|10|Frederik VII av Danmark (kung)|||
*7058|9|I Des Granges (pistolsmed)|||
*6998|9|Daniel Cronström (kommissionssekreterare)|||
*6558|9|Angelo Lazarino Cominazzo (pipsmed)|||
*36261|9|Sackermann, Hessenberg & Co,|||
*30486|9|Johan Wagner (buntmakare)|||
*30001|9|Valdemar av Sverige (kung)|||
*27073|9|Giacinto Secardo (stålspetsmakare)|||
*26566|9|Robert Sharp (guldsmed)|||
*26431|9|Friedrich Wilhelm Schmolz (svärdfejare)|||
*26202|9|Gustav Albert Scheele (ciselör)|||
*25818|9|Maria Charlotta Röslein, f. Ericsson (änkefru)|||
*24859|9|Daniel Smith (guldsmed)|||
*24591|9|Abraham Remahl (sidenvävare)|||
*24490|9|Jean Eric Rehn (Arkitekt, 1717-1793) Stockholm, Sverige|||
*22909|9|Johan Pedersson (Pedhersson) (guldsmed)|||
*22361|9|Orfeus,|||
*21877|9|Gustaf Gabrielsson Oxenstierna (greve, krigsråd)|||
*21874|9|Gabriel Oxenstierna (greve, riksmarskalk)|||
*18776|9|Jakob S Lundberg (guldsmed)|||
*18427|9|Johan B Lindroth (svärdfejare)|||
*164|9|Abd-ul-Hamid (sultan, 1842-)|||
*14753|9|Ingeborg, hertiginna av Västergötland (prinsessa)|||
*12524|9|Theodor (Hans Walther Hugo) von Hallwyl (Godsägare, konstmecenat, 1810-1870) Breda - Bern, Nederland - Schweiz|||
*12151|9|Conrad Gyllenstierna (friherre)|||
*11642|9|Carlo Francesco Gosi (stålsnidare)|||
*11641|9|Antonio Gosi (Gosio) (stålsnidare)|||
*11073|9|Giovanni Antonio Gavacciolo (bössmed)|||
*10399|9|Pierre Frappier (bössmed)|||
*9487|8|K Frosch (pipsmed)|||
*9258|8|J F Esteva (bössmed)|||
*9145|8|Hans Henrik von Essen (greve, riksståthållare)|||
*8651|8|Josef Alexander Ek (svärdfejare)|||
*8518|8|J Echstedt (bössmed)|||
*750|8|Jakob Johan Anckarström (kapten)|||
*7341|8|Jürgen Dargeman (guldsmed)|||
*7304|8|Wolf Danner (låssmed)|||
*6129|8|Ezechias Colas (bössmed)|||
*5631|8|Bror Claes Arvid Cederström (Generallöjtnant)|||
*36418|8|Skoklosters slott (Museum)|||
*32630|8|Conrad Reinhold Åkerhielm (överste)|||
*32627|8|Åkerhielm (friherre)|||
*31293|8|Anders Wåhlberg (hovpistolsmed, 1725-1793) Stockholm, Sverige|||
*31129|8|C M Weishaupt,|||
*30893|8|Johannes Wundes (klingsmed)|||
*29908|8|Lennart Torstensson (greve, fältmarskalk)|||
*29279|8|Tisell (brukspatron)|||
*28849|8|Sigrid Sundborg (Antikhandlare)|||
*27981|8|Sporrong & Co (Medalj- o knapptillverkare)|||
*27943|8|Peter Spierinck (vävare)|||
*27360|8|Claude Simonin (konstnär, gravör)|||
*26820|8|Fredrik Wilhelm Scholander (professor)|||
*2480|8|Peter Blom (Konstnär, hattstofferare)|||
*24512|8|Carl Magnus af Robson (bergsråd)|||
*23957|8|Arvid Rutger Posse (Atatsminister)|||
*23708|8|Peter I "den store" av Ryssland (tsar, imperator, 1672-) Moskwa, Ryssland|||
*23657|8|Arent Reutercrantz (hovstallmästare)|||
*23628|8|Edvard (Carl E.Vilhelm) Piper (greve)|||
*22552|8|Pakubuwana X av Surakarta (susuhunan)|||
*22531|8|Pages (guldsmed)|||
*20626|8|Pierre Monlong (bössmed)|||
*20532|8|Mohammed III es Sadok ben Hassine av Tunisien (bej, 1814-1882) Tunisien|||
*20467|8|Mohammed al Misri (klingsmed)|||
*18653|8|James Low (pistolsmed)|||
*1865|8|Eskil Isaksson Banér (riksråd)|||
*17752|8|Augustin Leijonsköld (Landshövding)|||
*17101|8|Caspar König (guldsmed)|||
*16797|8|Francois Laurent Le Languedoc (bössmed)|||
*16704|8|Levertin (konsthandlare)|||
*16508|8|Ivan Mafeevitj Krasnoschtjekov (brigadgeneral, fälthetman)|||
*15740|8|Peter Kalthoff (bössmed, konstruktör)|||
*14680|8|Georg Iacobi (Jacobi) (Byråchef, 1865-1949) Stocksund, Sverige|||
*9189|7|Djanibeg Gerej, Giray (khan)|||
*7933|7|Hindrich Eggertz (knoppmakare)|||
*7567|7|Axel Jakob De la Gardie (greve)|||
*7311|7|Hans Danner (pipsmed)|||
*66508|7|Johan Adam Ströwer (livskräddare)|||
*5547|7|Erik Dahlbergh (greve, fältmarskalk, 1625-1703)|||
*54569|7|Joseph Parrocel (Konstnär, 1646-1704) Frankrike|||
*52545|7|Denhoff, Jan; Denhoff, Krzysztof,|||
*503|7|Alexej Michajlovitj (tsar, 1629-) Moskwa, Ryssland|||
*3696|7|Bogislaw XIV av Pommern (hertig)|||
*35648|7|Riksarkivet,|||
*3534|7|I E Broman,|||
*33637|7|Croissant & Lauenstein,|||
*32335|7|Vänskapen (Amicitia) (personifikation)|||
*3213|7|Ture Gabriel Bielke (greve, 1894-1940)|||
*3140|7|Johannes Beugel (Buegel) (klingsmed)|||
*3085|7|Claes Bertilson (Hovskräddare)|||
*30554|7|Andreas Lorentzon Wall (guldsmed)|||
*30487|7|Jacob Wagner (buntmakare)|||
*30412|7|Peter Utterberg (bössmed)|||
*2887|7|Albert Bernard (pipsmed)|||
*28126|7|Andreas Stahl (urmakare)|||
*27728|7|Al-Haji Songkor (klingsmed)|||
*27300|7|Carl Ludvig Silfverstråle (Kammarherre)|||
*25993|7|Johan August Sandels (greve, lantmarskalk, 1764-1831)|||
*25731|7|O Rydberg (sadelmakare)|||
*25183|7|Peter Mikaelsson Rundberg (bössmed)|||
*24955|7|Schlyter (Skräddare)|||
*24654|7|Augustin Rensfeldt (Reinsfelt, Reensfelt) (svärdfejare)|||
*24519|7|Johan Reichardt (bössmed, 1730-1806)|||
*22155|7|Jürgen Ollich (klingsmed)|||
*21323|7|Napoleon III av Frankrike (kejsare)|||
*21000|7|Peter Munich (klingsmed)|||
*19235|7|Karel van Mander (konstnär)|||
*19177|7|Alexandre Masson (Mascon, Masscu) (bössmed)|||
*18971|7|Ludvig VI av Hessen-Kassel (lantgreve av Hessen-Kassel)|||
*18916|7|C Lundqvist (brukspatron)|||
*18867|7|Mikael Fedorovitj av Ryssland (tsar)|||
*18842|7|H Marcus (Antikhandlare)|||
*1825|7|Johann Balthasar (bössmed)|||
*16166|7|Wilhelm Klein (klingsmed)|||
*15781|7|Heinrich Kappell (Hovbössmed)|||
*14134|7|Johan Hübner von Holst (generalmajor)|||
*13990|7|Olof Hoffman (Konstnär)|||
*13758|7|Augustinus Herden (pärlstickare)|||
*13130|7|Hassan al-Misri (klingsmed)|||
*12519|7|Margarethe Cecilie von Hallwyl, f. von Im Hoff (Fru, 1815-1893) Bern, Schweiz|||
*1070|7|Anna av Pommern (hertiginna)|||
*10195|7|Olof Forsgren (kaptenmekanikus)|||
*9821|6|Axel (Hans A) von Fersen (greve, riksmarskalk)|||
*9474|6|Jan Flock (bössmed)|||
*7000|6|Markus Kock Cronström (myntmästare)|||
*6775|6|Gajus Mucius Scaevola Cordus,|||
*66498|6|Léger Trémeau (hovbrodör)|||
*6559|6|Lazaro Lazarino Cominazzo (pipsmed)|||
*6555|6|Lazarino Cominazzo (pipsmeder)|||
*6310|6|Per Collingson (smed)|||
*5737|6|Champion,|||
*5440|6|Hans Casper (täckemakare)|||
*4894|6|Richard Casparsson (Grosshandlare)|||
*4598|6|Brifaud (bössmed)|||
*4267|6|Nils Fredrik Brahe (greve, hovstallmästare)|||
*4258|6|Erik Brahe (greve, överste, 1722-1756)|||
*4254|6|Abraham Brahe (Generalmajor)|||
*40310|6|S. Skoglunds Guldsmeds AB (guldsmed)|||
*35888|6|Nordiska museet (Museum)|||
*35181|6|Krim (khanat)|||
*3217|6|Carl Gustaf Bielke (greve, 1683-1754) Sverige|||
*32111|6|Johan Christopher Wolf (Wolff) (stockmakare)|||
*31699|6|Fredrik William Wikström (bössmed)|||
*30404|6|Johan Baptista van Uther (konstnär)|||
*2985|6|Mattias Brun (Skomakare)|||
*29283|6|Jean Titeux (pipsmed)|||
*2827|6|Carl (1648-1699) Bonde (greve, ambassadör)|||
*26730|6|Jonas Manius Söderström (bössmed)|||
*26323|6|Jonas d.ä. Schertiger (stockmakare, 1666-) Tyskland, Pommern|||
*26316|6|Georg Scherping (Skomakare)|||
*23615|6|Nicolas Pineau (vagnmakare)|||
*21887|6|Carl Wilhelm Pereswetoff-Morath (Kammarherre)|||
*21613|6|Moritz Friedrich Nussbaum (bössmed)|||
*20798|6|Jacob Mores (guldsmed, kopparstickare)|||
*20461|6|Mir Khan (pipsmed)|||
*20245|6|W. Keith Neal (Vapensamlare, författare)|||
*18775|6|Erik Lundberg (professor)|||
